 lo;la;aId;aCIId;t;cId 
 10.8061930;59.8765045;216463;216468;Knausen barnehage;57474 
 10.6546760;59.9246580;213868;213873;Knerten barnehage;56421 
 10.8426717;59.8928666;220149;220154;Knærten familiebarnehage avdeling 1;58459 
 10.8267018;59.9016220;220267;220272;Knærten familiebarnehage avdeling 2;58476 
 10.8748767;59.9293496;210508;210513;Knøttene familiebarnehage;55941 
 10.8297690;59.9448258;210585;210590;Kolåsbakken barnehage;55952 
 10.6763807;59.9050016;210935;210940;Kongeskogen barnehage;56002 
 10.6767078;59.9598502;277157;277162;Kongeørnen barnehage;71603 
 10.7396892;59.9605082;212279;212284;Kongla familiebarnehage;56194 
 10.7781394;59.9286986;212916;212921;Kongsberggata barnehage;56285 
 10.7739280;59.8856412;212713;212718;Kongsveien Barnehage A/S;56256 
 10.7569613;59.9583771;211929;211934;Korsvolltoppen barnehage / Korsvolltoppen friluftsbarnehage;56144 
 10.6606223;59.9536922;214365;214370;Kragskogen barnehage SA;56492 
 10.8479843;59.8872980;215011;215016;Kringkollen familiebarnehage;56579 
 10.7762238;59.9209169;217721;217726;Kulturparken barnehage;57908 
 10.8903954;59.9420265;210249;210254;Kurland barnehage;55904 
 10.6337854;59.9289036;218542;218547;Kvernkallen barnehage;58074 
 10.7886825;59.9030454;211355;211360;Kværnerbyen FUS barnehage;56062 
 10.7923872;59.9031693;211208;211213;Kværnerdalen barnehage;56041 
 10.7644781;59.9159808;211215;211220;Lakkegården barnehage;56042 
 10.8080642;59.8742893;275575;275580;Lambertseter familiebarnehage;71459 
 10.6527683;59.9524711;214169;214174;Landingsveien  barnehage;56464 
 10.8339558;59.8694744;214864;214869;Langerud barnehage;56558 
 10.7691246;59.9136665;211222;211227;Langleiken barnehage;56043 
 10.7490576;59.9644974;211936;211941;Langmyrgrenda barnehage;56145 
 10.7320930;59.9237149;213224;213229;Langaard barnehage ;56329 
 10.8183119;59.8700246;212587;212592;Leker`n åpen barnehage;56238 
 10.8057282;59.8342093;213693;213698;Lerdal barnehage;56396 
 10.9204301;59.9360463;210137;210142;Lia barnehage;55888 
 10.8001394;59.8366411;213665;213670;Lia barnehage;56392 
 10.6430951;59.9687692;214176;214181;Liabakken barnehage;56465 
 10.6992669;59.9357840;214372;214377;Lille Borgen barnehage;56493 
 10.7860747;59.8982054;212510;212515;Lille Ekeberg barnehage;56227 
 10.7605110;59.9145133;265869;265874;Lille Grønland barnehage;69299 
 10.8291541;59.8786732;214871;214876;Lille Langerud barnehage;56559 
 10.6596683;59.9187118;214057;214062;Lille My familiebarnehage;56448 
 10.7991558;59.8568944;281202;281207;Lille Persille familiebarnehage;72010 
 10.7822493;59.9186015;211726;211731;Lille Tøyen barnehage;56115 
 10.9884410;59.2492860;218993;218998;Lille Venn familiebarnehage;58218 
 10.7169944;59.9357640;212391;212396;Lille-Bamsebo studentbarnehage;56210 
 10.6314928;59.9235940;218550;218555;Lilleaker barnehage;58075 
 10.7713806;59.9386816;212923;212928;Lilleborg barnehage;56286 
 10.8367942;59.8937511;243312;243317;Lillejordet barnehage;63441 
 10.9031163;59.9703212;211572;211577;Lilleslottet barnehage;56093 
 10.7741985;59.9432206;255385;255390;Lillohagen FUS barnehage;66438 
 10.8760069;59.9307788;210228;210233;Lindebergskogen barnehage;55901 
 10.8781659;59.9305585;210207;210212;Lindebergstua barnehage;55898 
 10.7351170;59.9367311;213301;213306;Lindekroken barnehage;56340 
 10.6755179;59.9265719;213875;213880;Linden Steinerbarnehage;56422 
 10.8357216;59.9420175;210592;210597;Linderud gård barnehage;55953 
 10.9081149;59.9512003;210235;210240;Linjen barnehage;55902 
 10.8040535;59.8491921;212846;212851;Ljabru gård steinerbarnehage;56275 
 10.7856985;59.8454423;212720;212725;Ljan menighets barnehage;56257 
 10.8274927;59.8454516;213637;213642;Lofsrud barnehage;56388 
 10.7895618;59.9582091;212314;212319;Lofthus familiebarnehage (Arilds vei);56199 
 10.8008511;59.9436887;212300;212305;Lofthus familiebarnehage (Eikelundveien);56197 
 10.7917428;59.9407545;212307;212312;Lofthus familiebarnehage (Fagerliveien);56198 
 10.8415637;59.9172966;210347;210352;Lohøgda barnehage;55918 
 10.8337270;59.8734413;214878;214883;Lopperud barnehage;56560 
 10.8337270;59.8734413;220430;220435;Lopperud barnehage avdeling Paviljongen;58502 
