 lo;la;Name 
 10.8080642;59.8742893;Lambertseter familiebarnehage;71459 
 10.6527683;59.9524711;Landingsveien  barnehage;56464 
 10.8339558;59.8694744;Langerud barnehage;56558 
 10.7691246;59.9136665;Langleiken barnehage;56043 
 10.7490576;59.9644974;Langmyrgrenda barnehage;56145 
 10.7320930;59.9237149;Langaard barnehage ;56329 
 10.8183119;59.8700246;Leker`n åpen barnehage;56238 
 10.8057282;59.8342093;Lerdal barnehage;56396 
 10.9204301;59.9360463;Lia barnehage;55888 
 10.8001394;59.8366411;Lia barnehage;56392 
 10.6430951;59.9687692;Liabakken barnehage;56465 
 10.6992669;59.9357840;Lille Borgen barnehage;56493 
 10.7860747;59.8982054;Lille Ekeberg barnehage;56227 
 10.7605110;59.9145133;Lille Grønland barnehage;69299 
 10.8291541;59.8786732;Lille Langerud barnehage;56559 
 10.6596683;59.9187118;Lille My familiebarnehage;56448 
 10.7991558;59.8568944;Lille Persille familiebarnehage;72010 
 10.7822493;59.9186015;Lille Tøyen barnehage;56115 
 10.9884410;59.2492860;Lille Venn familiebarnehage;58218 
 10.7169944;59.9357640;Lille-Bamsebo studentbarnehage;56210 
 10.6314928;59.9235940;Lilleaker barnehage;58075 
 10.7713806;59.9386816;Lilleborg barnehage;56286 
 10.8367942;59.8937511;Lillejordet barnehage;63441 
 10.9031163;59.9703212;Lilleslottet barnehage;56093 
 10.7741985;59.9432206;Lillohagen FUS barnehage;66438 
 10.8760069;59.9307788;Lindebergskogen barnehage;55901 
 10.8781659;59.9305585;Lindebergstua barnehage;55898 
 10.7351170;59.9367311;Lindekroken barnehage;56340 
 10.6755179;59.9265719;Linden Steinerbarnehage;56422 
 10.8357216;59.9420175;Linderud gård barnehage;55953 
 10.9081149;59.9512003;Linjen barnehage;55902 
 10.8040535;59.8491921;Ljabru gård steinerbarnehage;56275 
 10.7856985;59.8454423;Ljan menighets barnehage;56257 
 10.8274927;59.8454516;Lofsrud barnehage;56388 
 10.7895618;59.9582091;Lofthus familiebarnehage (Arilds vei);56199 
 10.8008511;59.9436887;Lofthus familiebarnehage (Eikelundveien);56197 
 10.7917428;59.9407545;Lofthus familiebarnehage (Fagerliveien);56198 
